run_dir,num_generated_graphs,num_reference_graphs,repeats,structural_features,f1_pr_mean,f1_pr_std,mmd_rbf_mean,mmd_rbf_std,mmd_linear_mean,mmd_linear_std,mmd_linear_median,mmd_linear_trimmed_mean,mmd_linear_min,mmd_linear_max,mmd_linear_max_to_median_ratio,mmd_linear_mean_to_median_ratio,precision_mean,precision_std,recall_mean,recall_std
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity/seed_0/lobster_kiarash_parity_kia40_2000_legacy__cs-cl-09_gpu1/seed_0,20,20,10,True,0.9974458980933528,0.007692305719941329,0.19250645637512206,0.004504903928007553,28.68708209991455,3.9142464434515842,30.001556396484375,28.73653745651245,23.10615348815918,33.87236785888672,1.1290203551858373,0.9561864631554963,1.0,0.0,0.9949999999999999,0.015000000000000015
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_1/lobster_kiarash_parity_kia40_2000_legacy__cs-cl-18_gpu1/seed_1,20,20,10,True,1.00001,0.0,0.5030114233493805,0.007081339012754776,82.77606201171875,11.61221703847842,85.95770645141602,82.70973110198975,66.14403533935547,99.93873596191406,1.1626500995393616,0.9629859314418125,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_2/lobster_kiarash_parity_kia40_2000_legacy__cs-cl-26_gpu1/seed_2,20,20,10,True,0.9359986631157525,0.013937334096963789,0.2408896267414093,0.011559028458101387,13.381624984741212,2.3108520635101812,12.82427978515625,13.403616905212402,9.892330169677734,16.694984436035156,1.301826279192625,1.0434601559636958,0.8800000000000001,0.024494897427831803,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_0/lobster_graphvae_mm_fixed_split_matched1_legacy__cs-cl-36_gpu0/seed_0,20,20,10,True,0.9743689809335289,1.1102230246251565e-16,0.33099368810653684,0.009697614319238648,33.305331993103025,4.647308657730222,33.877506256103516,33.18627119064331,27.38605308532715,40.17709732055664,1.1859520301414797,0.98311049642571,0.9499999999999998,1.1102230246251565e-16,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_0/lobster_graphvae_mm_fixed_split_native40_legacy__cs-cl-09_gpu1/seed_0,20,20,10,True,0.9974458980933528,0.007692305719941329,0.13774017225950957,0.008283786717004894,19.70918140411377,2.6907006304770573,20.109713554382324,19.707796573638916,15.621809005737305,23.807632446289062,1.1838871986866708,0.9800826526352351,1.0,0.0,0.9949999999999999,0.015000000000000015
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_0/lobster_kiarash_parity_kia40_2000_feature40_legacy__cs-cl-16_gpu0/seed_0,20,20,10,True,1.00001,0.0,0.3009083986282349,0.006761607984814638,46.15937690734863,6.353019695626561,47.73801612854004,46.16583490371704,36.74890899658203,55.51818084716797,1.1629762891210005,0.9669311934341649,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_1/lobster_graphvae_mm_fixed_split_matched1_legacy__cs-cl-18_gpu1/seed_1,20,20,10,True,1.00001,0.0,0.18343498706817626,0.010510162676973593,32.75396041870117,4.690029211908352,34.11905860900879,32.60399055480957,26.734840393066406,39.97283935546875,1.171569233886023,0.9599901566467259,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_1/lobster_graphvae_mm_fixed_split_native40_legacy__cs-cl-18_gpu0/seed_1,20,20,10,True,0.9867736946526684,0.024773084131133827,0.4150457501411438,0.007942923296849678,76.54736862182617,10.69815044486488,79.1138687133789,76.47108840942383,61.11299133300781,92.59198760986328,1.170363542014538,0.9675594161517889,1.0,0.0,0.975,0.04609772228646445
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_1/lobster_kiarash_parity_kia40_2000_feature40_legacy__cs-cl-26_gpu0/seed_1,20,20,10,True,1.00001,0.0,0.3891417384147644,0.00803629208694506,62.200887298583986,8.96433276458663,63.88719940185547,62.09407377243042,50.2523078918457,75.00397491455078,1.1740063051249112,0.9736048516907988,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_2/lobster_graphvae_mm_fixed_split_matched1_legacy__cs-cl-19_gpu1/seed_2,20,20,10,True,0.9842205346259515,0.024118806753154105,0.17361930012702942,0.017960503314093535,31.953742218017577,5.264580454008444,32.69154357910156,31.81516695022583,24.155986785888672,40.86009979248047,1.2498675595911828,0.9774314308745081,0.9700000000000001,0.04582575694955839,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_2/lobster_graphvae_mm_fixed_split_native40_legacy__cs-cl-19_gpu0/seed_2,20,20,10,True,0.9948817961867057,0.010256407626588436,0.23879700303077697,0.006558093240194794,28.373394012451172,4.0144573277502955,29.19144058227539,28.31062340736389,23.230985641479492,34.017967224121094,1.1653404746587361,0.9719764919611085,0.99,0.020000000000000018,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260725/lobster_graphvae_mm_fixed_split_controls/seed_2/lobster_kiarash_parity_kia40_2000_feature40_legacy__cs-cl-26_gpu1/seed_2,20,20,10,True,0.9974458980933528,0.007692305719941329,0.20447185039520263,0.0056674257729155625,27.048397636413576,3.7046584872197754,28.220696449279785,27.09698176383972,21.668537139892578,32.03958511352539,1.1353222685736752,0.9584596072966113,1.0,0.0,0.9949999999999999,0.015000000000000015
